iter	Passed	Remaining
544	37076	80003
545	37141	79930
546	37206	79855
547	37273	79785
548	37344	79723
549	37412	79654
550	37478	79581
551	37542	79505
552	37607	79431
553	37673	79359
554	37740	79289
555	37813	79232
556	37883	79167
557	37951	79098
558	38022	79037
559	38086	78960
560	38153	78891
561	38226	78833
562	38298	78774
563	38366	78704
564	38432	78634
565	38501	78567
566	38568	78497
567	38639	78435
568	38710	78373
569	38776	78301
570	38843	78232
571	38908	78157
572	38978	78092
573	39043	78018
574	39111	77951
575	39174	77871
576	39238	77797
577	39308	77733
578	39381	77674
579	39451	77609
580	39517	77538
581	39583	77467
582	39647	77391
583	39716	77324
584	39787	77261
585	39855	77194
586	39924	77128
587	39994	77063
588	40066	77003
589	40137	76940
590	40202	76868
591	40269	76798
592	40328	76713
593	40393	76638
594	40460	76569
595	40527	76499
596	40594	76429
597	40665	76367
598	40736	76304
599	40803	76234
600	40869	76162
601	40933	76087
602	40999	76016
603	41062	75939
604	41131	75872
605	41199	75804
606	41266	75734
607	41336	75670
608	41405	75604
609	41469	75528
610	41532	75451
611	41597	75379
612	41663	75307
613	41729	75234
614	41794	75162
615	41859	75089
616	41927	75020
617	41995	74952
618	42065	74888
619	42133	74820
620	42201	74753
621	42267	74682
622	42330	74605
623	42398	74537
624	42471	74477
625	42536	74404
626	42602	74333
627	42673	74271
628	42745	74210
629	42821	74155
630	42893	74094
631	42959	74024
632	43024	73950
633	43089	73877
634	43155	73806
635	43219	73732
636	43286	73660
637	43361	73605
638	43430	73539
639	43501	73477
640	43566	73404
641	43632	73332
642	43697	73260
643	43761	73185
644	43827	73113
645	43892	73041
646	43960	72973
647	44030	72908
648	44098	72840
649	44164	72768
650	44229	72696
651	44295	72625
652	44360	72552
653	44424	72478
654	44491	72409
655	44555	72335
656	44622	72266
657	44693	72203
658	44763	72137
659	44828	72065
660	44895	71996
661	44960	71922
662	45026	71852
663	45090	71778
664	45157	71708
665	45222	71636
666	45289	71566
667	45360	71503
668	45430	71439
669	45502	71377
670	45570	71310
671	45635	71236
672	45698	71162
673	45764	71090
674	45832	71022
675	45897	70951
676	45966	70884
677	46038	70823
678	46111	70763
